"folder","topology","killed","degree","hm","tcm","disablelq"
"t200_summary","caveman",+0,0,10,60,0
"t201_summary","caveman",+1,0,10,60,0
"t202_summary","caveman",+2,0,10,60,0
"t203_summary","caveman",+3,0,10,60,0
"t204_summary","caveman",+4,0,10,60,0
"t205_summary","caveman",-5,0,10,60,0
"t206_summary","caveman",-4,0,10,60,0
"t207_summary","caveman",-3,0,10,60,0
"t208_summary","caveman",-2,0,10,60,0
"t209_summary","caveman",-1,0,10,60,0
"t210_summary","caveman",+0,1,10,60,0
"t211_summary","caveman",+1,1,10,60,0
"t212_summary","caveman",+2,1,10,60,0
"t213_summary","caveman",+3,1,10,60,0
"t214_summary","caveman",+4,1,10,60,0
"t215_summary","caveman",-5,1,10,60,0
"t216_summary","caveman",-4,1,10,60,0
"t217_summary","caveman",-3,1,10,60,0
"t218_summary","caveman",-2,1,10,60,0
"t219_summary","caveman",-1,1,10,60,0
"t220_summary","waxman",+0,0,10,60,0
"t221_summary","waxman",+1,0,10,60,0
"t222_summary","waxman",+2,0,10,60,0
"t223_summary","waxman",+3,0,10,60,0
"t224_summary","waxman",+4,0,10,60,0
"t225_summary","waxman",-5,0,10,60,0
"t226_summary","waxman",-4,0,10,60,0
"t227_summary","waxman",-3,0,10,60,0
"t228_summary","waxman",-2,0,10,60,0
"t229_summary","waxman",-1,0,10,60,0
"t230_summary","waxman",+0,1,10,60,0
"t231_summary","waxman",+1,1,10,60,0
"t232_summary","waxman",+2,1,10,60,0
"t233_summary","waxman",+3,1,10,60,0
"t234_summary","waxman",+4,1,10,60,0
"t235_summary","waxman",-5,1,10,60,0
"t236_summary","waxman",-4,1,10,60,0
"t237_summary","waxman",-3,1,10,60,0
"t238_summary","waxman",-2,1,10,60,0
"t239_summary","waxman",-1,1,10,60,0
"t300_summary","shortcut",0,0,3,60,0
"t301_summary","shortcut",0,0,10,60,0
"t302_summary","shortcut",0,0,3,60,1
"t303_summary","shortcut",0,0,10,60,1
"t240_summary","waxman",+0,0,10,60,0
"t241_summary","waxman",+1,0,10,60,0
"t250_summary","waxman",+0,1,10,60,0
"t251_summary","waxman",+1,1,10,60,0
"t305_summary","shortcut",0,0,3,60,1
"t304_summary","shortcut",0,0,10,60,1
"t262_summary","caveman",+2,0,10,60,0
"t272_summary","caveman",+2,1,10,60,0
